team,team_name,week,season,last_updated,epa_def_allowed_per_play,epa_off_per_play,epa_pass_def_allowed,epa_pass_off,epa_rush_def_allowed,epa_rush_off,net_epa_per_play,success_rate_def,success_rate_off,total_epa_def_allowed,total_epa_off
MIN,Minnesota Vikings,16,2025,2025-12-17 13:21:03,-0.05,-0.12,-0.08,-0.17,-0.02,-0.05,-0.06999999999999999,0.4218,0.42,-47.09,-94.36
ARI,Arizona Cardinals,16,2025,2025-12-17 13:21:03,0.05,-0.02,0.1,0.01,-0.01,-0.07,-0.07,0.4725,0.43799999999999994,43.03,-16.98
NO,New Orleans Saints,16,2025,2025-12-17 13:21:03,-0.03,-0.12,0.03,-0.12,-0.08,-0.12,-0.09,0.4294,0.4182,-26.42,-103.13
CAR,Carolina Panthers,16,2025,2025-12-17 13:21:03,0.07,-0.02,0.12,-0.04,0.0,-0.01,-0.09000000000000001,0.4374,0.42869999999999997,55.97,-19.87
CLE,Cleveland Browns,16,2025,2025-12-17 13:21:03,-0.1,-0.2,-0.08,-0.27,-0.12,-0.08,-0.1,0.3705,0.3356,-83.32,-171.36
NYG,New York Giants,16,2025,2025-12-17 13:21:03,0.11,0.0,0.07,0.0,0.16,0.01,-0.11,0.46619999999999995,0.4144,95.96,2.91
WAS,Washington Commanders,16,2025,2025-12-17 13:21:03,0.13,0.0,0.22,-0.01,0.03,0.02,-0.13,0.4661,0.4551,114.27,3.81
CIN,Cincinnati Bengals,16,2025,2025-12-17 13:21:03,0.15,-0.06,0.22,-0.08,0.08,-0.02,-0.21,0.4921,0.4299,135.8,-50.34
NYJ,New York Jets,16,2025,2025-12-17 13:21:03,0.1,-0.11,0.18,-0.14,0.03,-0.06,-0.21000000000000002,0.42969999999999997,0.4165,90.53,-88.19
TEN,Tennessee Titans,16,2025,2025-12-17 13:21:03,0.08,-0.16,0.18,-0.22,-0.02,-0.06,-0.24,0.4474,0.37450000000000006,72.11,-132.71
LV,Las Vegas Raiders,16,2025,2025-12-17 13:21:03,0.04,-0.2,0.14,-0.18,-0.06,-0.25,-0.24000000000000002,0.4594,0.3833,36.3,-159.82
