away_team,home_team,spread_line,total_line,favorite_team,underdog_team,week,favorite_is_home,favorite_is_away,underdog_is_home,underdog_is_away,spread_category
Panthers,Patriots,5.5,43.5,Patriots,Panthers,4,True,False,False,True,Medium (3.5-6.5)
Chargers,Giants,6.5,44.5,Chargers,Giants,4,False,True,True,False,Medium (3.5-6.5)
Eagles,Buccaneers,3.5,43.5,Eagles,Buccaneers,4,False,True,True,False,Small (≤3.5)
Colts,Rams,3.5,49.5,Rams,Colts,4,True,False,False,True,Small (≤3.5)
Jaguars,49ers,3.0,47.0,49ers,Jaguars,4,True,False,False,True,Small (≤3.5)
Ravens,Chiefs,2.5,48.5,Ravens,Chiefs,4,False,True,True,False,Small (≤3.5)
Bears,Raiders,1.5,47.5,Raiders,Bears,4,True,False,False,True,Small (≤3.5)
Packers,Cowboys,7.0,47.5,Packers,Cowboys,4,False,True,True,False,Large (6.5-10)
Jets,Dolphins,2.5,45.0,Dolphins,Jets,4,True,False,False,True,Small (≤3.5)
Bengals,Broncos,7.0,44.0,Broncos,Bengals,4,True,False,False,True,Large (6.5-10)
49ers,Rams,-5.5,43.5,Rams,49ers,5,True,False,False,True,Medium (3.5-6.5)
Vikings,Browns,-3.5,36.0,Vikings,Browns,5,False,True,True,False,Small (≤3.5)
Texans,Ravens,-2.5,40.5,Texans,Ravens,5,False,True,True,False,Small (≤3.5)
Dolphins,Panthers,-1.5,44.0,Dolphins,Panthers,5,False,True,True,False,Small (≤3.5)
Raiders,Colts,-6.5,48.0,Colts,Raiders,5,True,False,False,True,Medium (3.5-6.5)
Giants,Saints,-1.5,42.0,Saints,Giants,5,True,False,False,True,Small (≤3.5)
Cowboys,Jets,-2.5,47.5,Cowboys,Jets,5,False,True,True,False,Small (≤3.5)
Broncos,Eagles,-3.5,43.5,Eagles,Broncos,5,True,False,False,True,Small (≤3.5)
Titans,Cardinals,-8.5,42.5,Cardinals,Titans,5,True,False,False,True,Large (6.5-10)
Buccaneers,Seahawks,-3.5,44.5,Seahawks,Buccaneers,5,True,False,False,True,Small (≤3.5)
Lions,Bengals,-10.5,49.5,Lions,Bengals,5,False,True,True,False,Very Large (>10)
Commanders,Chargers,-2.5,47.0,Chargers,Commanders,5,True,False,False,True,Small (≤3.5)
Patriots,Bills,-8.0,49.5,Bills,Patriots,5,True,False,False,True,Large (6.5-10)
Chiefs,Jaguars,-3.5,46.5,Chiefs,Jaguars,5,False,True,True,False,Small (≤3.5)
Eagles,Giants,-7.5,39.5,Eagles,Giants,6,False,True,True,False,Large (6.5-10)
Broncos,Jets,-7.5,43.5,Broncos,Jets,6,False,True,True,False,Large (6.5-10)
Cardinals,Colts,-6.5,46.5,Colts,Cardinals,6,True,False,False,True,Medium (3.5-6.5)
Chargers,Dolphins,-4.5,43.5,Chargers,Dolphins,6,False,True,True,False,Medium (3.5-6.5)
Patriots,Saints,-3.5,45.5,Patriots,Saints,6,False,True,True,False,Small (≤3.5)
Browns,Steelers,-5.0,38.5,Steelers,Browns,6,True,False,False,True,Medium (3.5-6.5)
Cowboys,Panthers,-3.5,50.5,Cowboys,Panthers,6,False,True,True,False,Small (≤3.5)
Seahawks,Jaguars,-1.5,47.5,Jaguars,Seahawks,6,True,False,False,True,Small (≤3.5)
Rams,Ravens,-7.5,45.5,Rams,Ravens,6,False,True,True,False,Large (6.5-10)
Titans,Raiders,-4.5,40.5,Raiders,Titans,6,True,False,False,True,Medium (3.5-6.5)
Bengals,Packers,-14.5,44.5,Packers,Bengals,6,True,False,False,True,Very Large (>10)
49ers,Buccaneers,-3.0,47.5,Buccaneers,49ers,6,True,False,False,True,Small (≤3.5)
Lions,Chiefs,-2.5,52.5,Chiefs,Lions,6,True,False,False,True,Small (≤3.5)
Bills,Falcons,-4.5,50.5,Bills,Falcons,6,False,True,True,False,Medium (3.5-6.5)
Bears,Commanders,-4.5,49.5,Commanders,Bears,6,True,False,False,True,Medium (3.5-6.5)
Steelers,Bengals,-5.5,46.5,Steelers,Bengals,7,False,True,True,False,Medium (3.5-6.5)
Rams,Jaguars,-3.0,44.5,Rams,Jaguars,7,False,True,True,False,Small (≤3.5)
Saints,Bears,-5.5,47.5,Bears,Saints,7,True,False,False,True,Medium (3.5-6.5)
Dolphins,Browns,-2.5,40.5,Browns,Dolphins,7,True,False,False,True,Small (≤3.5)
Patriots,Titans,-7.0,42.5,Patriots,Titans,7,False,True,True,False,Large (6.5-10)
Raiders,Chiefs,-11.5,45.5,Chiefs,Raiders,7,True,False,False,True,Very Large (>10)
Eagles,Vikings,-2.5,43.5,Eagles,Vikings,7,False,True,True,False,Small (≤3.5)
Panthers,Jets,-1.5,41.5,Panthers,Jets,7,False,True,True,False,Small (≤3.5)
Giants,Broncos,-7.0,40.5,Broncos,Giants,7,True,False,False,True,Large (6.5-10)
Colts,Chargers,-1.5,48.5,Chargers,Colts,7,True,False,False,True,Small (≤3.5)
Commanders,Cowboys,-2.5,55.5,Commanders,Cowboys,7,False,True,True,False,Small (≤3.5)
Packers,Cardinals,-6.5,44.5,Packers,Cardinals,7,False,True,True,False,Medium (3.5-6.5)
Falcons,49ers,-2.5,47.5,49ers,Falcons,7,True,False,False,True,Small (≤3.5)
Buccaneers,Lions,-4.5,52.5,Lions,Buccaneers,7,True,False,False,True,Medium (3.5-6.5)
Texans,Seahawks,-3.5,41.5,Seahawks,Texans,7,True,False,False,True,Small (≤3.5)
