week,game,favorite,underdog,spread,actual_margin,margin_vs_spread,underdog_covered,favorite_covered,fav_off_epa,fav_def_epa,dog_off_epa,dog_def_epa,matchup_epa_diff,net_epa_diff,fav_off_pass_epa,fav_def_pass_epa,dog_off_pass_epa,dog_def_pass_epa,matchup_pass_epa_diff,fav_off_rush_epa,fav_def_rush_epa,dog_off_rush_epa,dog_def_rush_epa,matchup_rush_epa_diff,matchup_rp_epa_diff,matchup_weighted_rp_epa_diff,matchup_fav_weighted_epa_diff,matchup_dog_weighted_epa_diff,fav_run_pct,fav_pass_pct,dog_run_pct,dog_pass_pct,avg_run_pct,avg_pass_pct
2,Panthers @ Cardinals,Cardinals,Panthers,3.5,5,1.5,False,True,0.0,0.02,-0.05,0.06,0.09,0.09,0.0,0.07,-0.1,0.1,0.13,0.0,-0.08,0.01,0.0,0.07,0.1,0.10315,0.1048,0.1015,0.42,0.58,0.475,0.525,0.4475,0.5525
2,Falcons @ Vikings,Vikings,Falcons,1.5,-16,-17.5,True,False,-0.11,-0.04,-0.06,-0.02,-0.03,-0.03000000000000011,-0.09,-0.08,-0.07,-0.07,-0.009999999999999981,-0.14,0.02,-0.05,0.03,-0.08000000000000002,-0.045,-0.04038,-0.03877,-0.04199,0.41100000000000003,0.589,0.457,0.5429999999999999,0.43400000000000005,0.566
2,Buccaneers @ Texans,Buccaneers,Texans,1.5,1,-0.5,True,False,0.02,-0.08,0.02,-0.13,-0.05,-0.04999999999999999,0.05,-0.06,0.05,-0.21,-0.14999999999999997,-0.03,-0.1,-0.03,-0.01,0.09,-0.029999999999999985,-0.04535999999999997,-0.04655999999999997,-0.04415999999999997,0.431,0.569,0.441,0.5589999999999999,0.436,0.564
2,Chargers @ Raiders,Chargers,Raiders,3.0,11,8.0,False,True,0.03,-0.01,-0.18,0.04,0.26,0.26,0.04,0.01,-0.12,0.15,0.3,0.01,0.0,-0.26,-0.13,0.14,0.22,0.23127999999999999,0.23535999999999999,0.2272,0.40399999999999997,0.596,0.455,0.545,0.4295,0.5705
3,Dolphins @ Bills,Bills,Dolphins,12.5,10,-2.5,True,False,0.16,-0.02,-0.01,0.11,0.30000000000000004,0.3,0.17,-0.07,-0.02,0.17,0.43000000000000005,0.13,0.04,0.0,0.04,0.13,0.28,0.2896,0.2737,0.3055,0.521,0.479,0.415,0.585,0.46799999999999997,0.532
3,Packers @ Browns,Packers,Browns,8.5,-3,-11.5,True,False,0.17,-0.02,-0.18,-0.07,0.3,0.29999999999999993,0.31,0.02,-0.27,0.03,0.59,0.01,-0.08,-0.02,-0.2,-0.09,0.25,0.29284,0.25816,0.32752,0.488,0.512,0.386,0.614,0.437,0.563
3,Colts @ Titans,Colts,Titans,3.5,21,17.5,False,True,0.23,-0.03,-0.21,0.1,0.5700000000000001,0.5700000000000001,0.27,-0.04,-0.26,0.18,0.75,0.16,-0.02,-0.11,0.01,0.30000000000000004,0.525,0.561675,0.5416500000000001,0.5817000000000001,0.46299999999999997,0.537,0.374,0.626,0.4185,0.5815
3,Bengals @ Vikings,Vikings,Bengals,3.0,38,35.0,False,True,-0.11,-0.04,-0.05,0.17,0.15000000000000002,0.15,-0.09,-0.08,-0.1,0.24,0.32999999999999996,-0.14,0.02,0.05,0.07,-0.14,0.09499999999999997,0.15116499999999994,0.13682999999999995,0.16549999999999998,0.41100000000000003,0.589,0.35,0.65,0.3805,0.6194999999999999
3,Steelers @ Patriots,Steelers,Patriots,1.5,7,5.5,False,True,0.05,0.07,0.09,-0.04,-0.15,-0.15,0.09,0.13,0.26,0.0,-0.30000000000000004,-0.01,-0.02,-0.13,-0.11,0.03,-0.135,-0.14556000000000002,-0.15645,-0.13467000000000004,0.435,0.565,0.501,0.499,0.46799999999999997,0.532
3,Jets @ Buccaneers,Buccaneers,Jets,7.0,2,-5.0,True,False,0.02,-0.08,-0.05,0.09,0.24,0.24000000000000002,0.05,-0.06,-0.04,0.16,0.31000000000000005,-0.03,-0.1,-0.05,0.02,0.14,0.22500000000000003,0.23231000000000002,0.23673000000000002,0.22789000000000004,0.431,0.569,0.483,0.517,0.45699999999999996,0.5429999999999999
3,Raiders @ Commanders,Commanders,Raiders,3.5,17,13.5,False,True,0.0,0.07,-0.18,0.04,0.15,0.15,0.0,0.13,-0.12,0.15,0.13999999999999999,0.0,-0.01,-0.26,-0.13,0.14,0.14,0.14,0.14,0.14,0.475,0.525,0.455,0.545,0.46499999999999997,0.535
3,Falcons @ Panthers,Panthers,Falcons,5.5,-30,-35.5,True,False,-0.05,0.06,-0.06,-0.02,-0.07,-0.0700000000000001,-0.1,0.1,-0.07,-0.07,-0.2,0.01,0.0,-0.05,0.03,0.09,-0.05500000000000001,-0.06486,-0.062250000000000014,-0.06746999999999999,0.475,0.525,0.457,0.5429999999999999,0.46599999999999997,0.534
3,Texans @ Jaguars,Jaguars,Texans,1.5,7,5.5,False,True,-0.01,-0.04,0.02,-0.13,-0.12000000000000001,-0.12,-0.04,-0.02,0.05,-0.21,-0.28,0.05,-0.06,-0.03,-0.01,0.13,-0.07500000000000001,-0.10575000000000001,-0.11231000000000002,-0.09919,0.409,0.591,0.441,0.5589999999999999,0.425,0.575
