week,game,final_score,away_team,home_team,favorite,underdog,spread_line,favorite_score,underdog_score,margin,underdog_covered,week_type,home_away_status,away_favorite,home_favorite,away_underdog,home_underdog,corrected_category,underdog_category
4,Jaguars @ 49ers,JAX 26 - SF 21,Jaguars,49ers,49ers,Jaguars,3.0,21,26,-5,True,4,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
4,Ravens @ Chiefs,KC 37 - BAL 20,Ravens,Chiefs,Chiefs,Ravens,2.5,37,20,17,False,4,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
4,Bears @ Raiders,CHI 25 - LV 24,Bears,Raiders,Raiders,Bears,1.5,24,25,-1,True,4,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
4,Packers @ Cowboys,GB 40 - DAL 40,Packers,Cowboys,Eagles,Cowboys,7.0,40,40,0,True,4,Home Favorite,False,False,False,True,ERROR,Home Underdog
4,Jets @ Dolphins,MIA 27 - NYJ 21,Jets,Dolphins,Dolphins,Jets,2.5,27,21,6,False,4,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
4,Bengals @ Broncos,DEN 28 - CIN 3,Bengals,Broncos,Broncos,Bengals,7.0,28,3,25,False,4,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
5,49ers @ Rams,SF 26 - LAR 23,49ers,Rams,Rams,49ers,5.5,23,26,-3,True,5,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
5,Vikings @ Browns,MIN 21 - CLE 17,Vikings,Browns,Vikings,Browns,3.5,21,17,4,False,5,Away Favorite,True,False,False,True,Away Favorite,Home Underdog
5,Raiders @ Colts,IND 40 - LV 6,Raiders,Colts,Colts,Raiders,6.5,40,6,34,False,5,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
5,Giants @ Saints,NO 26 - NYG 14,Giants,Saints,Saints,Giants,1.5,26,14,12,False,5,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
5,Cowboys @ Jets,DAL 37 - NYJ 22,Cowboys,Jets,Cowboys,Jets,2.5,37,22,15,False,5,Away Favorite,True,False,False,True,Away Favorite,Home Underdog
5,Broncos @ Eagles,DEN 21 - PHI 17,Broncos,Eagles,Eagles,Broncos,3.5,17,21,-4,True,5,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
5,Dolphins @ Panthers,CAR 27 - MIA 24,Dolphins,Panthers,Dolphins,Panthers,1.5,24,27,-3,True,5,Away Favorite,True,False,False,True,Away Favorite,Home Underdog
5,Texans @ Ravens,HOU 44 - BAL 10,Texans,Ravens,Texans,Ravens,2.5,44,10,34,False,5,Away Favorite,True,False,False,True,Away Favorite,Home Underdog
5,Titans @ Cardinals,TEN 22 - ARI 21,Titans,Cardinals,Cardinals,Titans,8.5,21,22,-1,True,5,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
