week,game,favorite,underdog,spread,actual_margin,margin_vs_spread,underdog_covered,favorite_covered,fav_off_epa,fav_def_epa,dog_off_epa,dog_def_epa,matchup_epa_diff,net_epa_diff,fav_off_pass_epa,fav_def_pass_epa,dog_off_pass_epa,dog_def_pass_epa,matchup_pass_epa_diff,fav_off_rush_epa,fav_def_rush_epa,dog_off_rush_epa,dog_def_rush_epa,matchup_rush_epa_diff,matchup_rp_epa_diff,model_x_b_matchup_epa_diff,model_x_b_alt_matchup_epa_diff,fav_inverse_pass_epa,fav_inverse_rush_epa,dog_inverse_pass_epa,dog_inverse_rush_epa,fav_inverse_rush_vs_def_overall,fav_inverse_pass_vs_def_overall,dog_inverse_rush_vs_def_overall,dog_inverse_pass_vs_def_overall,fav_run_pct,fav_pass_pct,dog_run_pct,dog_pass_pct
3,Raiders @ Commanders,Commanders,Raiders,3.5,17,13.5,False,True,0.0,0.07,-0.18,0.04,0.15,0.15,0.0,0.13,-0.12,0.15,0.13999999999999999,0.0,-0.01,-0.26,-0.13,0.14,0.14,0.1456,0.25630000000000003,0.0,0.0,-0.0546,-0.14170000000000002,-0.04,-0.04,-0.21170000000000003,-0.12460000000000002,0.475,0.525,0.455,0.545
3,Falcons @ Panthers,Panthers,Falcons,5.5,-30,-35.5,True,False,-0.05,0.06,-0.06,-0.02,-0.07,-0.0700000000000001,-0.1,0.1,-0.07,-0.07,-0.2,0.01,0.0,-0.05,0.03,0.09,-0.05500000000000001,-0.046310000000000004,0.17689,-0.0475,0.00525,-0.031990000000000005,-0.027149999999999997,0.02525,-0.0275,-0.08714999999999999,-0.09199,0.475,0.525,0.457,0.5429999999999999
3,Texans @ Jaguars,Jaguars,Texans,1.5,7,5.5,False,True,-0.01,-0.04,0.02,-0.13,-0.12000000000000001,-0.12,-0.04,-0.02,0.05,-0.21,-0.28,0.05,-0.06,-0.03,-0.01,0.13,-0.07500000000000001,-0.04152999999999999,0.18790999999999997,-0.01636,0.02955,0.02205,-0.016769999999999997,0.15955,0.11364,0.023230000000000004,0.06205,0.409,0.591,0.441,0.5589999999999999
3,Broncos @ Chargers,Chargers,Broncos,2.5,3,0.5,False,True,0.03,-0.01,0.07,-0.07,-0.1,-0.1,0.04,0.01,0.09,-0.08,-0.13999999999999999,0.01,0.0,0.05,-0.06,-0.1,-0.12,-0.11776,0.07468000000000002,0.01616,0.00596,0.03924,0.0282,0.07596,0.08616000000000001,0.0382,0.04924,0.40399999999999997,0.596,0.436,0.564
3,Saints @ Seahawks,Seahawks,Saints,7.5,31,23.5,False,True,0.0,-0.04,-0.14,0.0,0.18000000000000002,0.18000000000000002,0.0,0.04,-0.17,0.09,0.22,0.0,-0.19,-0.08,-0.11,0.16000000000000003,0.19,0.20476,0.03654000000000001,0.0,0.0,-0.06902000000000001,-0.04752,0.0,0.0,-0.007519999999999999,-0.02902000000000001,0.508,0.49200000000000005,0.406,0.594
3,Cowboys @ Bears,Bears,Cowboys,1.5,17,15.5,False,True,0.02,0.0,0.14,0.15,0.02999999999999997,0.029999999999999902,0.07,0.0,0.21,0.19,0.05000000000000002,-0.05,0.0,0.01,0.1,0.04,0.04500000000000001,0.05647000000000002,-0.38556,0.032690000000000004,-0.026649999999999997,0.08567999999999999,0.005920000000000001,-0.17665,-0.11731,0.005920000000000001,0.08567999999999999,0.467,0.5329999999999999,0.408,0.5920000000000001
3,Cardinals @ 49ers,49ers,Cardinals,1.5,1,-0.5,True,False,0.0,0.03,0.0,0.02,-0.009999999999999998,-0.009999999999999998,0.07,0.09,0.0,0.07,0.05000000000000002,-0.11,-0.06,0.0,-0.08,-0.13,-0.039999999999999994,-0.05671000000000002,-0.015660000000000007,0.02891,-0.06457,0.0,0.0,-0.08457,0.008910000000000001,-0.03,-0.03,0.413,0.5870000000000001,0.42,0.58
3,Chiefs @ Giants,Chiefs,Giants,6.5,13,6.5,False,True,0.17,-0.06,-0.04,0.08,0.35,0.35,0.22,-0.09,-0.05,0.03,0.39,0.07,0.0,-0.02,0.16,0.25,0.32,0.31648000000000004,-0.10899999999999999,0.09768,0.03892000000000001,-0.024,-0.010400000000000001,-0.04107999999999999,0.01768,0.0496,0.036,0.444,0.556,0.48,0.52
3,Lions @ Ravens,Ravens,Lions,5.5,-8,-13.5,True,False,0.0,0.13,0.1,-0.1,-0.33,-0.33,0.0,0.16,0.23,-0.08,-0.47000000000000003,0.0,0.07,-0.03,-0.13,-0.17,-0.32,-0.32195,0.35896,0.0,0.0,0.11592000000000001,-0.014879999999999999,0.1,0.1,-0.14488,-0.014079999999999995,0.489,0.511,0.504,0.496
4,Seahawks @ Cardinals,Seahawks,Cardinals,1.5,3,1.5,False,True,0.0,-0.04,0.0,0.02,0.06,0.06,0.0,0.04,0.0,0.07,0.030000000000000006,0.0,-0.19,0.0,-0.08,0.11,0.07,0.08959999999999999,-0.12,0.0,0.0,0.0,0.0,-0.02,-0.02,0.04,0.04,0.508,0.49200000000000005,0.42,0.58
4,Vikings @ Steelers,Steelers,Vikings,2.5,-3,-5.5,True,False,0.05,0.07,-0.11,-0.04,0.049999999999999996,0.05,0.09,0.13,-0.09,-0.08,-0.030000000000000013,-0.01,-0.02,-0.14,0.02,0.17,0.07,0.0878,0.37295,0.03915,-0.00565,-0.03699,-0.08246,0.03435,0.07915,-0.15246,-0.10699,0.435,0.565,0.41100000000000003,0.589
4,Commanders @ Falcons,Commanders,Falcons,1.5,-7,-8.5,True,False,0.0,0.07,-0.06,-0.02,-0.03000000000000001,-0.03000000000000011,0.0,0.13,-0.07,-0.07,-0.13,0.0,-0.01,-0.05,0.03,0.09,-0.020000000000000004,-0.012340000000000004,0.23914000000000002,0.0,0.0,-0.031990000000000005,-0.027149999999999997,0.02,0.02,-0.09715,-0.10199000000000001,0.475,0.525,0.457,0.5429999999999999
4,Saints @ Bills,Bills,Saints,16.5,12,-4.5,True,False,0.16,-0.02,-0.14,0.0,0.32,0.32,0.17,-0.07,-0.17,0.09,0.5,0.13,0.04,-0.08,-0.11,0.060000000000000005,0.28,0.26624000000000003,0.22738000000000003,0.08857000000000001,0.06227,-0.06902000000000001,-0.04752,0.06227,0.08857000000000001,-0.02752,-0.04902000000000001,0.521,0.479,0.406,0.594
4,Browns @ Lions,Lions,Browns,8.5,24,15.5,False,True,0.1,-0.1,-0.18,-0.07,0.31000000000000005,0.30999999999999994,0.23,-0.08,-0.27,0.03,0.6100000000000001,-0.03,-0.13,-0.02,-0.2,-0.08000000000000002,0.265,0.24416000000000002,0.15754,0.11592000000000001,-0.014879999999999999,-0.10422000000000001,-0.01228,0.05512000000000001,0.18592000000000003,0.08772,-0.0042200000000000015,0.504,0.496,0.386,0.614
4,Panthers @ Patriots,Patriots,Panthers,5.5,29,23.5,False,True,0.09,-0.04,-0.05,0.06,0.24,0.24,0.26,0.0,-0.1,0.1,0.45999999999999996,-0.13,-0.11,0.01,0.0,-0.03,0.21499999999999997,0.21549000000000001,-0.09235999999999997,0.13026000000000001,-0.06487,-0.0475,0.00525,-0.12487,0.07026000000000002,0.04525,-0.0075,0.501,0.499,0.475,0.525
4,Chargers @ Giants,Chargers,Giants,6.5,-3,-9.5,True,False,0.03,-0.01,-0.04,0.08,0.16,0.16,0.04,0.01,-0.05,0.03,0.11000000000000001,0.01,0.0,-0.02,0.16,0.19,0.15000000000000002,0.1592,-0.12348,0.01616,0.00596,-0.024,-0.010400000000000001,-0.07404,-0.06384000000000001,-0.00040000000000000105,-0.014,0.40399999999999997,0.596,0.48,0.52
4,Titans @ Texans,Texans,Titans,7.0,26,19.0,False,True,0.02,-0.13,-0.21,0.1,0.45999999999999996,0.45999999999999996,0.05,-0.21,-0.26,0.18,0.7,-0.03,-0.01,-0.11,0.01,0.1,0.39999999999999997,0.34115,-0.28862,0.02205,-0.016769999999999997,-0.09724000000000001,-0.06886,-0.11677,-0.07795,0.06114,0.03276,0.441,0.5589999999999999,0.374,0.626
4,Colts @ Rams,Rams,Colts,3.5,7,3.5,False,True,0.04,-0.1,0.23,-0.03,-0.12,-0.12,0.18,-0.12,0.27,-0.04,-0.010000000000000037,-0.16,-0.04,0.16,-0.02,-0.3,-0.15500000000000003,-0.17981000000000003,-0.36847,0.07542,-0.09296,0.12501,0.08592000000000001,-0.06296,0.10542,0.18592000000000003,0.22501000000000002,0.419,0.581,0.46299999999999997,0.537
4,Jaguars @ 49ers,49ers,Jaguars,3.0,-5,-8.0,True,False,0.0,0.03,-0.01,-0.04,-0.06,-0.06,0.07,0.09,-0.04,-0.02,6.938893903907228e-18,-0.11,-0.06,0.05,-0.06,-0.15999999999999998,-0.07999999999999999,-0.09368,0.09115,0.02891,-0.06457,-0.01636,0.02955,-0.02457,0.06891,-0.000449999999999999,-0.04636,0.413,0.5870000000000001,0.409,0.591
4,Ravens @ Chiefs,Chiefs,Ravens,2.5,17,14.5,False,True,0.17,-0.06,0.0,0.13,0.36000000000000004,0.36,0.22,-0.09,0.0,0.16,0.47,0.07,0.0,0.0,0.07,0.14,0.305,0.29057000000000005,-0.2434,0.09768,0.03892000000000001,0.0,0.0,-0.09108,-0.03232,0.06,0.06,0.444,0.556,0.489,0.511
4,Bears @ Raiders,Raiders,Bears,1.5,-1,-2.5,True,False,-0.18,0.04,0.02,0.0,-0.24,-0.24,-0.12,0.15,0.07,0.0,-0.33999999999999997,-0.26,-0.13,-0.05,0.0,-0.08000000000000002,-0.21,-0.20310000000000006,-0.12234000000000003,-0.0546,-0.14170000000000002,0.032690000000000004,-0.026649999999999997,-0.14170000000000002,-0.0546,-0.06665,-0.007309999999999997,0.455,0.545,0.467,0.5329999999999999
4,Packers @ Cowboys,Packers,Cowboys,7.0,0,-7.0,True,False,0.17,-0.02,0.14,0.15,0.2,0.1999999999999999,0.31,0.02,0.21,0.19,0.27,0.01,-0.08,0.01,0.1,0.18,0.225,0.24791999999999997,-0.2752,0.15128,0.00512,0.08567999999999999,0.005920000000000001,-0.14487999999999998,0.0012800000000000034,0.025920000000000002,0.10568,0.488,0.512,0.408,0.5920000000000001
4,Jets @ Dolphins,Dolphins,Jets,2.5,6,3.5,False,True,-0.01,0.11,-0.05,0.09,0.020000000000000004,0.020000000000000018,-0.02,0.17,-0.04,0.16,0.010000000000000009,0.0,0.04,-0.05,0.02,0.030000000000000002,0.020000000000000004,0.012180000000000003,0.07687000000000002,-0.0083,0.0,-0.01932,-0.02585,-0.09,-0.0983,-0.13585,-0.12932,0.415,0.585,0.483,0.517
4,Bengals @ Broncos,Broncos,Bengals,7.0,25,18.0,False,True,0.07,-0.07,-0.05,0.17,0.36000000000000004,0.36,0.09,-0.08,-0.1,0.24,0.51,0.05,-0.06,0.05,0.07,0.13,0.32,0.28106000000000003,-0.41006000000000004,0.03924,0.0282,-0.034999999999999996,0.0325,-0.1418,-0.13076000000000002,0.10250000000000001,0.03500000000000001,0.436,0.564,0.35,0.65
