week,game,favorite,underdog,spread,actual_margin,margin_vs_spread,underdog_covered,favorite_covered,fav_off_epa,fav_def_epa,dog_off_epa,dog_def_epa,matchup_epa_diff,net_epa_diff,fav_off_pass_epa,fav_def_pass_epa,dog_off_pass_epa,dog_def_pass_epa,matchup_pass_epa_diff,fav_off_rush_epa,fav_def_rush_epa,dog_off_rush_epa,dog_def_rush_epa,matchup_rush_epa_diff,matchup_rp_epa_diff,fav_weighted_rp_epa,dog_weighted_rp_epa,corrected_matchup_rp_epa_diff,fav_pass_epa_diff,fav_run_epa_diff,dog_pass_epa_diff,dog_run_epa_diff,fav_run_pct,fav_pass_pct,dog_run_pct,dog_pass_pct
2,Bills @ Jets,Bills,Jets,1.5,20,18.5,False,True,0.16,-0.02,-0.05,0.09,0.32,0.32,0.17,-0.07,-0.04,0.16,0.44000000000000006,0.13,0.04,-0.05,0.02,0.16,0.30000000000000004,0.0621,0.027959999999999995,0.034140000000000004,0.004790000000000003,0.05731,-0.015510000000000006,0.04347,0.521,0.479,0.483,0.517
2,Seahawks @ Steelers,Steelers,Seahawks,3.0,-14,-17.0,True,False,0.05,0.07,0.0,-0.04,-0.060000000000000005,-0.06,0.09,0.13,0.0,0.04,0.0,-0.01,-0.02,0.0,-0.19,-0.18000000000000002,-0.09000000000000001,0.10655,0.0538,0.052750000000000005,0.028249999999999994,0.07830000000000001,0.06396,-0.01016,0.435,0.565,0.508,0.49200000000000005
2,Browns @ Ravens,Ravens,Browns,11.5,24,12.5,False,True,0.0,0.13,-0.18,-0.07,-0.020000000000000018,-0.0200000000000001,0.0,0.16,-0.27,0.03,0.14,0.0,0.07,-0.02,-0.2,-0.25,-0.05499999999999999,0.08247,0.29876,-0.21629000000000004,-0.01533,0.0978,0.26402000000000003,0.03474,0.489,0.511,0.386,0.614
2,Broncos @ Colts,Colts,Broncos,3.5,1,-2.5,True,False,0.23,-0.03,0.07,-0.07,0.12,0.12,0.27,-0.04,0.09,-0.08,0.14,0.16,-0.02,0.05,-0.06,0.07,0.10500000000000001,0.28981,-0.10383999999999999,0.39365,0.18795,0.10185999999999999,-0.07332,-0.03052,0.46299999999999997,0.537,0.436,0.564
2,Panthers @ Cardinals,Cardinals,Panthers,3.5,5,1.5,False,True,0.0,0.02,-0.05,0.06,0.09,0.09,0.0,0.07,-0.1,0.1,0.13,0.0,-0.08,0.01,0.0,0.07,0.1,-0.057999999999999996,0.046500000000000014,-0.10450000000000001,-0.057999999999999996,0.0,0.08925000000000001,-0.042749999999999996,0.42,0.58,0.475,0.525
2,Falcons @ Vikings,Vikings,Falcons,1.5,-16,-17.5,True,False,-0.11,-0.04,-0.06,-0.02,-0.03,-0.03000000000000011,-0.09,-0.08,-0.07,-0.07,-0.009999999999999981,-0.14,0.02,-0.05,0.03,-0.08000000000000002,-0.045,-0.08165,0.026560000000000007,-0.10821,-0.011779999999999992,-0.06987000000000002,-0.005429999999999997,0.031990000000000005,0.41100000000000003,0.589,0.457,0.5429999999999999
2,Buccaneers @ Texans,Buccaneers,Texans,1.5,1,-0.5,True,False,0.02,-0.08,0.02,-0.13,-0.05,-0.04999999999999999,0.05,-0.06,0.05,-0.21,-0.14999999999999997,-0.03,-0.1,-0.03,-0.01,0.09,-0.029999999999999985,0.13932,-0.09236,0.23168,0.14794,-0.00862,-0.06148999999999999,-0.03087,0.431,0.569,0.441,0.5589999999999999
2,Chargers @ Raiders,Chargers,Raiders,3.0,11,8.0,False,True,0.03,-0.01,-0.18,0.04,0.26,0.26,0.04,0.01,-0.12,0.15,0.3,0.01,0.0,-0.26,-0.13,0.14,0.22,-0.008999999999999994,0.18914999999999998,-0.19815,-0.06556,0.05656,0.07085,0.1183,0.40399999999999997,0.596,0.455,0.545
3,Dolphins @ Bills,Bills,Dolphins,12.5,10,-2.5,True,False,0.16,-0.02,-0.01,0.11,0.30000000000000004,0.3,0.17,-0.07,-0.02,0.17,0.43000000000000005,0.13,0.04,0.0,0.04,0.13,0.28,0.04689,-0.012649999999999998,0.059539999999999996,0.0,0.04689,-0.029249999999999998,0.0166,0.521,0.479,0.415,0.585
3,Packers @ Browns,Packers,Browns,8.5,-3,-11.5,True,False,0.17,-0.02,-0.18,-0.07,0.3,0.29999999999999993,0.31,0.02,-0.27,0.03,0.59,0.01,-0.08,-0.02,-0.2,-0.09,0.25,0.24584,0.15489999999999998,0.09094000000000002,0.14336,0.10248,0.17806,-0.02316,0.488,0.512,0.386,0.614
