week,game,favorite,underdog,spread,actual_margin,margin_vs_spread,underdog_covered,favorite_covered,fav_off_epa,fav_def_epa,dog_off_epa,dog_def_epa,fav_matchup_epa,dog_matchup_epa,matchup_epa_diff,fav_net_epa,dog_net_epa,net_epa_diff,epa_bin
2,Falcons @ Vikings,Vikings,Falcons,1.5,-16,-17.5,True,False,-0.11,-0.04,-0.06,-0.02,-0.13,-0.1,-0.03,-0.07,-0.0399999999999999,-0.03000000000000011,Low
2,Buccaneers @ Texans,Buccaneers,Texans,1.5,1,-0.5,True,False,0.02,-0.08,0.02,-0.13,-0.11,-0.06,-0.05,0.1,0.15,-0.04999999999999999,Low
2,Chargers @ Raiders,Chargers,Raiders,3.0,11,8.0,False,True,0.03,-0.01,-0.18,0.04,0.07,-0.19,0.26,0.04,-0.22,0.26,High
3,Dolphins @ Bills,Bills,Dolphins,12.5,10,-2.5,True,False,0.16,-0.02,-0.01,0.11,0.27,-0.03,0.30000000000000004,0.18,-0.12,0.3,High
3,Packers @ Browns,Packers,Browns,8.5,-3,-11.5,True,False,0.17,-0.02,-0.18,-0.07,0.1,-0.19999999999999998,0.3,0.19,-0.1099999999999999,0.29999999999999993,High
3,Colts @ Titans,Colts,Titans,3.5,21,17.5,False,True,0.23,-0.03,-0.21,0.1,0.33,-0.24,0.5700000000000001,0.26,-0.31,0.5700000000000001,Very High
3,Bengals @ Vikings,Vikings,Bengals,3.0,38,35.0,False,True,-0.11,-0.04,-0.05,0.17,0.06000000000000001,-0.09,0.15000000000000002,-0.07,-0.22,0.15,Medium
3,Steelers @ Patriots,Steelers,Patriots,1.5,7,5.5,False,True,0.05,0.07,0.09,-0.04,0.010000000000000002,0.16,-0.15,-0.02,0.13,-0.15,Very Low
3,Jets @ Buccaneers,Buccaneers,Jets,7.0,2,-5.0,True,False,0.02,-0.08,-0.05,0.09,0.11,-0.13,0.24,0.1,-0.14,0.24000000000000002,Medium
3,Falcons @ Panthers,Panthers,Falcons,5.5,-30,-35.5,True,False,-0.05,0.06,-0.06,-0.02,-0.07,0.0,-0.07,-0.11,-0.0399999999999999,-0.0700000000000001,Low
3,Texans @ Jaguars,Jaguars,Texans,1.5,7,5.5,False,True,-0.01,-0.04,0.02,-0.13,-0.14,-0.02,-0.12000000000000001,0.03,0.15,-0.12,Very Low
3,Broncos @ Chargers,Chargers,Broncos,2.5,3,0.5,False,True,0.03,-0.01,0.07,-0.07,-0.04000000000000001,0.060000000000000005,-0.1,0.04,0.14,-0.1,Very Low
3,Cowboys @ Bears,Bears,Cowboys,1.5,17,15.5,False,True,0.02,0.0,0.14,0.15,0.16999999999999998,0.14,0.02999999999999997,0.02,-0.0099999999999999,0.029999999999999902,Low
3,Chiefs @ Giants,Chiefs,Giants,6.5,13,6.5,False,True,0.17,-0.06,-0.04,0.08,0.25,-0.1,0.35,0.23,-0.12,0.35,High
4,Vikings @ Steelers,Steelers,Vikings,2.5,-3,-5.5,True,False,0.05,0.07,-0.11,-0.04,0.010000000000000002,-0.039999999999999994,0.049999999999999996,-0.02,-0.07,0.05,Low
4,Saints @ Bills,Bills,Saints,16.5,12,-4.5,True,False,0.16,-0.02,-0.14,0.0,0.16,-0.16,0.32,0.18,-0.14,0.32,High
4,Browns @ Lions,Lions,Browns,8.5,24,15.5,False,True,0.1,-0.1,-0.18,-0.07,0.03,-0.28,0.31000000000000005,0.2,-0.1099999999999999,0.30999999999999994,High
4,Panthers @ Patriots,Patriots,Panthers,5.5,29,23.5,False,True,0.09,-0.04,-0.05,0.06,0.15,-0.09,0.24,0.13,-0.11,0.24,Medium
4,Chargers @ Giants,Chargers,Giants,6.5,-3,-9.5,True,False,0.03,-0.01,-0.04,0.08,0.11,-0.05,0.16,0.04,-0.12,0.16,Medium
4,Titans @ Texans,Texans,Titans,7.0,26,19.0,False,True,0.02,-0.13,-0.21,0.1,0.12000000000000001,-0.33999999999999997,0.45999999999999996,0.15,-0.31,0.45999999999999996,Very High
4,Colts @ Rams,Rams,Colts,3.5,7,3.5,False,True,0.04,-0.1,0.23,-0.03,0.010000000000000002,0.13,-0.12,0.14,0.26,-0.12,Very Low
4,Jaguars @ 49ers,49ers,Jaguars,3.0,-5,-8.0,True,False,0.0,0.03,-0.01,-0.04,-0.04,0.019999999999999997,-0.06,-0.03,0.03,-0.06,Low
4,Bears @ Raiders,Raiders,Bears,1.5,-1,-2.5,True,False,-0.18,0.04,0.02,0.0,-0.18,0.06,-0.24,-0.22,0.02,-0.24,Very Low
4,Packers @ Cowboys,Packers,Cowboys,7.0,0,-7.0,True,False,0.17,-0.02,0.14,0.15,0.32,0.12000000000000001,0.2,0.19,-0.0099999999999999,0.1999999999999999,Medium
4,Jets @ Dolphins,Dolphins,Jets,2.5,6,3.5,False,True,-0.01,0.11,-0.05,0.09,0.08,0.06,0.020000000000000004,-0.12,-0.14,0.020000000000000018,Low
4,Bengals @ Broncos,Broncos,Bengals,7.0,25,18.0,False,True,0.07,-0.07,-0.05,0.17,0.24000000000000002,-0.12000000000000001,0.36000000000000004,0.14,-0.22,0.36,High
5,49ers @ Rams,Rams,49ers,5.5,-3,-8.5,True,False,0.04,-0.1,0.0,0.03,0.07,-0.1,0.17,0.14,-0.03,0.17,Medium
5,Vikings @ Browns,Vikings,Browns,3.5,4,0.5,False,True,-0.11,-0.04,-0.18,-0.07,-0.18,-0.22,0.04000000000000001,-0.07,-0.1099999999999999,0.0399999999999999,Low
5,Raiders @ Colts,Colts,Raiders,6.5,34,27.5,False,True,0.23,-0.03,-0.18,0.04,0.27,-0.21,0.48,0.26,-0.22,0.48,Very High
5,Giants @ Saints,Saints,Giants,1.5,12,10.5,False,True,-0.14,0.0,-0.04,0.08,-0.06000000000000001,-0.04,-0.02000000000000001,-0.14,-0.12,-0.020000000000000018,Low
5,Cowboys @ Jets,Cowboys,Jets,2.5,15,12.5,False,True,0.14,0.15,-0.05,0.09,0.23,0.09999999999999999,0.13,-0.0099999999999999,-0.14,0.13000000000000012,Medium
5,Dolphins @ Panthers,Dolphins,Panthers,1.5,-3,-4.5,True,False,-0.01,0.11,-0.05,0.06,0.049999999999999996,0.06,-0.010000000000000002,-0.12,-0.11,-0.009999999999999995,Low
5,Lions @ Bengals,Lions,Bengals,10.5,13,2.5,False,True,0.1,-0.1,-0.05,0.17,0.27,-0.15000000000000002,0.42000000000000004,0.2,-0.22,0.42000000000000004,Very High
5,Patriots @ Bills,Bills,Patriots,8.0,-3,-11.0,True,False,0.16,-0.02,0.09,-0.04,0.12,0.06999999999999999,0.05,0.18,0.13,0.04999999999999999,Low
5,Chiefs @ Jaguars,Chiefs,Jaguars,3.5,-3,-6.5,True,False,0.17,-0.06,-0.01,-0.04,0.13,-0.06999999999999999,0.2,0.23,0.03,0.2,Medium
6,Broncos @ Jets,Broncos,Jets,7.5,2,-5.5,True,False,0.07,-0.07,-0.05,0.09,0.16,-0.12000000000000001,0.28,0.14,-0.14,0.28,High
6,Chargers @ Dolphins,Chargers,Dolphins,4.5,2,-2.5,True,False,0.03,-0.01,-0.01,0.11,0.14,-0.02,0.16,0.04,-0.12,0.16,Medium
6,Patriots @ Saints,Patriots,Saints,3.5,6,2.5,False,True,0.09,-0.04,-0.14,0.0,0.09,-0.18000000000000002,0.27,0.13,-0.14,0.27,High
6,Browns @ Steelers,Steelers,Browns,5.0,14,9.0,False,True,0.05,0.07,-0.18,-0.07,-0.020000000000000004,-0.10999999999999999,0.08999999999999998,-0.02,-0.1099999999999999,0.0899999999999999,Medium
6,Cowboys @ Panthers,Cowboys,Panthers,3.5,-3,-6.5,True,False,0.14,0.15,-0.05,0.06,0.2,0.09999999999999999,0.10000000000000002,-0.0099999999999999,-0.11,0.1000000000000001,Medium
6,Titans @ Raiders,Raiders,Titans,4.5,10,5.5,False,True,-0.18,0.04,-0.21,0.1,-0.07999999999999999,-0.16999999999999998,0.09,-0.22,-0.31,0.09,Medium
6,Bengals @ Packers,Packers,Bengals,14.5,9,-5.5,True,False,0.17,-0.02,-0.05,0.17,0.34,-0.07,0.41000000000000003,0.19,-0.22,0.41000000000000003,Very High
6,49ers @ Buccaneers,49ers,Buccaneers,3.0,-11,-14.0,True,False,0.0,0.03,0.02,-0.08,-0.08,0.05,-0.13,-0.03,0.1,-0.13,Very Low
6,Lions @ Chiefs,Chiefs,Lions,2.5,13,10.5,False,True,0.17,-0.06,0.1,-0.1,0.07,0.04000000000000001,0.03,0.23,0.2,0.03,Low
6,Bills @ Falcons,Bills,Falcons,4.5,-10,-14.5,True,False,0.16,-0.02,-0.06,-0.02,0.14,-0.08,0.22000000000000003,0.18,-0.0399999999999999,0.2199999999999999,Medium
7,Steelers @ Bengals,Bengals,Steelers,3.5,2,-1.5,True,False,-0.05,0.17,0.05,0.07,0.020000000000000004,0.22000000000000003,-0.2,-0.22,-0.02,-0.2,Very Low
7,Rams @ Jaguars,Rams,Jaguars,3.5,28,24.5,False,True,0.04,-0.1,-0.01,-0.04,0.0,-0.11,0.11,0.14,0.03,0.11000000000000001,Medium
7,Saints @ Bears,Bears,Saints,3.5,12,8.5,False,True,0.02,0.0,-0.14,0.0,0.02,-0.14,0.16,0.02,-0.14,0.16,Medium
7,Dolphins @ Browns,Browns,Dolphins,3.5,25,21.5,False,True,-0.18,-0.07,-0.01,0.11,-0.06999999999999999,-0.08,0.010000000000000009,-0.1099999999999999,-0.12,0.010000000000000092,Low
7,Patriots @ Titans,Patriots,Titans,3.5,18,14.5,False,True,0.09,-0.04,-0.21,0.1,0.19,-0.25,0.44,0.13,-0.31,0.44,Very High
7,Raiders @ Chiefs,Chiefs,Raiders,7.5,31,23.5,False,True,0.17,-0.06,-0.18,0.04,0.21000000000000002,-0.24,0.45,0.23,-0.22,0.45,Very High
7,Panthers @ Jets,Jets,Panthers,3.5,-7,-10.5,True,False,-0.05,0.09,-0.05,0.06,0.009999999999999995,0.039999999999999994,-0.03,-0.14,-0.11,-0.030000000000000013,Low
7,Giants @ Broncos,Broncos,Giants,3.5,1,-2.5,True,False,0.07,-0.07,-0.04,0.08,0.15000000000000002,-0.11000000000000001,0.26,0.14,-0.12,0.26,High
7,Colts @ Chargers,Colts,Chargers,3.5,14,10.5,False,True,0.23,-0.03,0.03,-0.01,0.22,0.0,0.22,0.26,0.04,0.22,Medium
7,Falcons @ 49ers,49ers,Falcons,7.5,10,2.5,False,True,0.0,0.03,-0.06,-0.02,-0.02,-0.03,0.009999999999999998,-0.03,-0.0399999999999999,0.009999999999999898,Low
7,Buccaneers @ Lions,Lions,Buccaneers,7.5,15,7.5,False,True,0.1,-0.1,0.02,-0.08,0.020000000000000004,-0.08,0.1,0.2,0.1,0.1,Medium
8,Vikings @ Chargers,Chargers,Vikings,-3.5,27,30.5,False,True,0.03,-0.01,-0.11,-0.04,-0.010000000000000002,-0.12,0.10999999999999999,0.04,-0.07,0.11000000000000001,Medium
8,Dolphins @ Falcons,Falcons,Dolphins,-7.5,-24,-16.5,True,False,-0.06,-0.02,-0.01,0.11,0.05,-0.03,0.08,-0.0399999999999999,-0.12,0.0800000000000001,Medium
8,Jets @ Bengals,Bengals,Jets,-6.5,-1,5.5,True,False,-0.05,0.17,-0.05,0.09,0.039999999999999994,0.12000000000000001,-0.08000000000000002,-0.22,-0.14,-0.07999999999999999,Low
8,Browns @ Patriots,Patriots,Browns,-7.0,19,26.0,False,True,0.09,-0.04,-0.18,-0.07,0.01999999999999999,-0.22,0.24,0.13,-0.1099999999999999,0.2399999999999999,Medium
8,Bills @ Panthers,Bills,Panthers,-7.5,31,38.5,False,True,0.16,-0.02,-0.05,0.06,0.22,-0.07,0.29000000000000004,0.18,-0.11,0.29,High
8,49ers @ Texans,Texans,49ers,-1.5,11,12.5,False,True,0.02,-0.13,0.0,0.03,0.05,-0.13,0.18,0.15,-0.03,0.18,Medium
8,Buccaneers @ Saints,Buccaneers,Saints,-4.5,20,24.5,False,True,0.02,-0.08,-0.14,0.0,0.02,-0.22000000000000003,0.24000000000000002,0.1,-0.14,0.24000000000000002,Medium
8,Cowboys @ Broncos,Broncos,Cowboys,-3.5,20,23.5,False,True,0.07,-0.07,0.14,0.15,0.22,0.07,0.15,0.14,-0.0099999999999999,0.1499999999999999,Medium
8,Titans @ Colts,Colts,Titans,-14.0,24,38.0,False,True,0.23,-0.03,-0.21,0.1,0.33,-0.24,0.5700000000000001,0.26,-0.31,0.5700000000000001,Very High
8,Packers @ Steelers,Packers,Steelers,-3.0,10,13.0,False,True,0.17,-0.02,0.05,0.07,0.24000000000000002,0.030000000000000002,0.21000000000000002,0.19,-0.02,0.21,Medium
